uid,block,policy,retained,lag_ms,envelope_sum,n
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3409,1,100,7.366279972318425,14
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,emotion_3408,0,-100,3.7606033595741604,8
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,emotion_3408,0,-80,4.40067115178128,8
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,emotion_3408,0,-60,5.051336543998639,8
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,emotion_3408,0,-40,5.188376755100268,8
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,emotion_3408,0,-20,4.7154641495287395,8
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,emotion_3408,0,0,3.8192229929912007,8
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,emotion_3408,0,20,2.798950596282986,8
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,emotion_3408,0,40,2.3646203774241914,8
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,emotion_3408,0,60,2.8381918634566277,8
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,emotion_3408,0,80,3.6973598574949764,8
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,emotion_3408,0,100,4.403357440253404,8
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,emotion_3408,1,-100,7.022209617002123,12
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,emotion_3408,1,-80,6.6905856763481975,12
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,emotion_3408,1,-60,6.307663586178458,12
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,emotion_3408,1,-40,6.052984779259103,12
